院 系 別,輔 系 條 件
"文學院
 中國文學系學士班","申請條件：班排名前15％。
申請時間：依學校公告日期。
連絡電話：分機52151"
"文學院
 外國語文學系學士班","申請條件：
 1. 班排名前25 。
 2. 模組二英文課成績85分以上；模組三英文課成績80分以上；沒有修課紀錄者應提供英語能力證明(如英檢測驗)。
 3. 申請者應先修以下B2課程至少一門，且成績及格通過：「語言學概論」、「西洋文學概論」、「文學作品導讀」。
 4.檢附正式成績單(請至註冊組申請)。
申請時間：依學校公告日期。

需繳交文件：
 1. 申請表(請至註冊組網頁「申請表單」處下載)，須明確標示申請輔系或雙主修， 並留下連絡電話及EMAIL。
 2. 正式成績單(須包含申請日之前各學期完整成績)，並註記英文課模組。
 3. 班排名證明文件。
*備註：若有英檢或英文能力相關證明可檢附作為參考附件。
連絡電話:分機52205"
"文學院
歷史學系學士班","申請條件：無條件設限。
申請時間：依學校公告日期。
修課規定：必修6學分，選修21學分以上(詳參系網公告)。
連絡電話:分機52340"
"文學院
台灣文學系學士班","申請條件：不設條件，但申請者須提供成績單。
申請時間：依學校公告日期。
連絡電話:06-2757575-52600"
"理學院
數學系學士班","申請條件：前一學年學業總成績平均達75分以上。
申請時間：依學校公告日期。
連絡電話：分機65105"
"理學院
物理學系學士班","申請條件：本校大學部學生。
申請時間：依學校公告日期。
連絡電話：分機65257"
"理學院
 化學系學士班","申請條件：本系無條件規定。
申請時間：依學校公告日期。
連絡電話：分機65307"
"理學院
 地球科學系學士班","申請條件：無條件限制
申請時間：依學校公告日期。
連絡電話:分機65406"
"理學院
光電科學與工程學系學士班","申請條件：前一學年學業成績平均達70分以上。
申請時間：依註冊組公告時間與規定進行申請作業，並檢附以下資料： a.歷年成績單。b.學生證。
連絡電話:分機63900"
"工學院
機械工程學系學士班","申請條件：無條件限制
申請時間：依照本校各學系學生修讀輔系辦法規定
連絡電話:分機62159~65"
"工學院
化學工程學系學士班","申請條件：需修畢普通化學或普通化學(一)，且該科學期成績須達75分以上
申請時間：依照本校註冊組公告時間辦理。
連絡電話:分機62605"
"工學院
 資源工程學系學士班","申請條件：不設任何條件,但須提出自傳和讀書計畫，以供審查小組審查。
申請時間：依照本校各學系學生修讀輔系辦法規定
連絡電話：分機62801"
"工學院
 材料科學及工程學系學士班","申請條件：須滿足下列全部條件： 
 1.累計學年總平均78分以上。
 2.普通物理（一）（二）各3學分，該科每學期均須及格且學年平均成績75分以上。
 3.普通化學（一）（二）各3學分，該科每學期均須及格且學年平均成績75分以上。
申請日期:依學校公告日期。
連絡電話:分機62908
"
"工學院
土木工程學系學士班","申請條件：不設限條件
申請時間：依照本校各學系學生修讀輔系辦法規定。
連絡電話:分機63105"
"工學院
 水利及海洋工程學系學士班","申請條件：不設限條件
申請時間：依照本校各學系學生修讀輔系辦法規定
連絡電話：分機63205"
"工學院
工程科學系學士班","申請條件：不設限
申請時間：依本校規定時間辦理
連絡電話：分機63340"
"工學院
 能源工程國際學士學位學程學士班","申請條件：
一、前一學年學業成績平均達７５分以上。
二、輔系須修畢２２學分之輔系必修科目。輔系必修科目：
 （１）必修科目，１０學分：能源科技概論、能源實驗（一）、能源實驗（二）、能源工程實作（一）、能源工程實作（二）。
 （２）任選必修科目，１２學分：熱力學、熱機學、流體力學、材料力學、工程材料科學、自動控制、熱傳學、儀器量測與訊號處理、生質能源、燃料電池、風力發電、燃燒學、太陽光電、太陽熱能。
申請時間：依國立成功大學各學系學生修讀輔系辦法。
連絡電話:分機63637"
"工學院
系統及船舶機電工程學系學士班","申請條件：不設限
申請時間：依學校公告日期。
連絡電話:分機63534轉200"
"工學院
 航空太空工程學系學士班","申請條件：
 一、前一學年學業成績平均達７５分以上。二、輔系須修畢２０學分之輔系必修科目。輔系必修科目：
 （１）必修科目，１２學分：航空發動機、飛機結構學（一）、飛行力學、空氣動力學（一）。
 （２）任選必修科目，８學分：航太工程概論、飛機設計、靜力學、動力學、工程材料科學、材料力學、飛機結構學（二）、控制系統導論、流體力學、空氣動力 學（二）、熱力學（一）、熱力學（二）、熱傳學。
申請時間：依國立成功大學各學系學生修讀輔系辦法。
連絡電話:分機63637"
"工學院
環境工程學系學士班","申請條件：無條件限制。
申請時間：依照本校「各學系學生修讀輔系辦法」規定辦理。
連絡電話:分機65806"
