院 系 別,轉 系 條 件,"可轉入名額
一般生","可轉入名額
僑生"
全校不分系學士學位學程全校不分系學士學位學程,"平轉：申請者須提供自傳、轉系動機、讀書計畫、成績單、5分鐘自我介紹(請將檔案上傳至雲端並提供QRcode於申請資料中以供檢視)及其他有利審查之資料，待審查小組審查通過後，方可轉入。(若有需要進行面試將於書審後逕行通知)
降轉：同平轉。",10,0
"文學院
 中國文學系學士班","平轉：不設任何條件，但申請者須提供有利審查之資料，待審查小組
 審查通過後，方可轉入。
 降轉：同平轉。",11,1
"文學院
 外國語文學系學士班","【平轉】
 申請者應符合以下各項條件：
 一、班排名前50%。
 二、模組二英文成績90分以上；模組三英文成績85分以上；或通 過GEPT全民英檢中高級複試(或其他相同等級)以上之英語能力測驗者。
 三、申請者應先修以下B2外文系課程至少一門，且成績及格通過：「語言學概論」、「西洋文學概論」、「文學作品導讀」。
 四、參加並通過外文系轉系測驗：
 1.測驗內容：「英文」(閱讀及作文)佔50%，「英文會話」50%。
 2.預定測驗公告：每年四月下旬。
 3.預定測驗報名日期：每年五月上旬。
 4.預定測驗日期：每年五月下旬。
  
 【降轉】
 同平轉條件。
  
 ※備註：所有有意申請轉入本系學生(含僑生及國際生)皆應登記參加轉系資格測驗，並於登記時繳交成績單等相關申請文件。",11,1
"文學院
 歷史學系學士班","平轉：須提供自傳、轉系動機、讀書計畫、成績單及歷史課程相關報
 告等有利審查之資料，待審查小組審查通過後，方可轉入。
  
 降轉：同平轉。",11,2
"文學院
 台灣文學系學士班","平轉：需經本系審查小組審查通過，審查資料含成績單、轉系動機說明（至
 少500字）及其他有利審查資料。
降轉：同平轉。",11,1
"理學院
 數學系學士班","平轉：不設任何條件，但申請者須提供有利審查之資料(含轉系動機說明、自傳、讀書計畫、在校成績等)，經本系審查小組審查通過後，方可轉入
降轉：同平轉。",11,1
"理學院
 物理學系學士班","平轉：須修畢普通物理（一）（二）、微積分（一）（二）。如轉系生為轉學生身分者，需附前一學校成績單。
降轉：同平轉。如轉系生為轉學生身分者，需附前一學校成績單。",9,1
"理學院
 化學系學士班","平轉：須修畢普通化學、普通物理及微積分三科中至少二科成績及格。
降轉：同平轉。",11,1
"理學院
 地球科學系學士班","【轉出條件】
 本系學生於就讀期間必須修習本系學士班一年級課表所列專業必修課程，方可申請轉系。
 【轉入條件】
 平轉：須修畢普通化學、普通物理及微積分三科中至少二科成績及格。
 降轉：同平轉。",11,1
"理學院
 光電科學與工程學系
 學士班","平轉：須經本系書面資料審查（含自傳、讀書計畫、在校成績及其他有利審查之資料）通過。若有需要進行面試將逕行通知。
降轉：同平轉。",10,1
"工學院
 機械工程學系學士班","平轉:
本地生：前一學年或累計總平均75分(含)以上，普通物理上下學期及微積分上下學期成績均達75(含)以上，且需經本系審查小組審查通過後，方可轉入。審查以書面為原則，若有需要時會另外通知面試。
僑生：前一學年或累計總平均70分(含)以上，普通物理上下學期及微積分上下學期成績均達70分(含)以上，且需經本系審查小組審查通過後，方可轉入。審查以書面為原則，若有需要時會另外通知面試。
降轉:同平轉",33,3
"工學院
 化學工程學系學士班","平轉：
 一、須修畢下列科目
 1.微積分(一)(二)各3學分且該科每學期均需及格及學年平均成績75分以上。
 2.普通物理學(一)(二)各3學分或普通化學(一)(二)各3學分二科中至少一科，且該科每學期均需及格及學年平均成績75分以上。
 二、學年學業總平均：本地生75分以上；僑生65分以上。
 三、須經本系審查委員會審查通過後，方可轉入。
降轉：同平轉。",27,1
"工學院
 資源工程學系學士班","平轉：不設任何條件，唯須提出自傳和讀書計畫，以供審查小組審查。
降轉：同平轉。",11,1
"工學院
 材料科學及工程學系
 學士班","平轉：
 須滿足下列條件：
 1.累計學年總平均78分以上。
 2.普通物理（一）（二）各3學分，該科每學期均須及格且學年平均成績75分以上或普通化學（一）（二）各3學分，該科每學期均須及格且學年平均成績75分以上。
降轉：同平轉。",18,2
"工學院
 土木工程學系學士班","平轉：
 不設任何條件，但申請者須提供自傳、在校成績、讀書計畫及其他有利審查之資料，待審查小組審查通過後，方可轉入。若有需要進行面試時將逕行通知。
 降轉：
 同平轉。",22,2
"工學院
 水利及海洋工程學系
 學士班","平轉： 申請者須提供自傳、在校成績、讀書計畫及其他有利審查之資料，待審查小組審查通過後，方可轉入。
降轉：同平轉。",11,1
"工學院
 工程科學系學士班","平轉
 本系轉入標準，依下列要點為原則擇優遴選：須提供有利審查之資料(如讀書計畫、轉系動機及成績單等)經本系審查小組審查，並符合下列條件:
 1.至少須修過1學期之微積分或物理並且及格。
 2.累計學業總平均須達 70分以上者。
降轉：同平轉。
 二、僑生同本地生。",11,1
"工學院
 能源工程國際學士學
 位學程學士班","平轉：
 1.前一學年或累計學業總平均達75分以上。
 2.普通物理或微積分每學期成績75分以上。
 3.英語能力測驗須達大一英文抵免門檻標準，或大一英文學年平均成績為模組二達75分以上、模組一達80分以上者。
 4.轉入須經審查小組審查通過。
 5.轉入後抵免課程需為英語授課。  
降轉：同平轉。",4,0
"工學院
 系統及船舶機電工程
 學系學士班","平轉：累計學業成績總平均70分以上，轉入須經審查小組審查通過。
降轉：同平轉。",11,1
"工學院
 航空太空工程學系學
 士班","平轉：
 1.前一學年或累計學業總平均達75分以上。
 2.普通物理或微積分每學期成績75分以上。
 3.轉入須經審查小組審查通過。
降轉：同平轉。",11,1
"工學院
 環境工程學系學士班","平轉：不設任何條件，轉入須需經本系審查小組審查通過。(審查資料含自傳、在校成績、讀書計畫及其他有利審查資料。)
降轉：同平轉。",11,1
"工學院
 測量及空間資訊學系
 學士班","平轉：
 1. 申請者須提供自傳、在校成績、讀書計畫及其他有利審查之資，供審查小組審查。
 2. 轉出、轉入需經本系審查小組審查通過。
降轉：同平轉。",11,1
"工學院
 生物醫學工程學系學
 士班","本系轉入標準，依下列要點為原則：
 一、平轉：
 1.前一學年學業總平均達75分（含）以上。
 2.需繳交讀書計畫(最多2頁)及其他有利審查之資料
 降轉：同平轉。
 二、每系轉入名額不得超過3名。
 三、僑生同本地生。",7,1
