學院,科系,招收,年級限制,成績要求,繳交資料,先修課程,測驗,備註,聯絡電話,課程備註,課程名稱
文學院,中國文學系學士班,,,班排名前15％。,,,,,分機52151,"c(""須修畢 必修 24 學分，選修 4 學分"", ""中國文學史、中國思想史任選一類"", ""文字學、聲韻學任選一類"", ""詩選集實作(一)(二)、詞選及習作(一)(二)、曲選及習作，三科任選，至少 6 學分"")","c(""中國文學史(一)"", ""中國文學史(二)"", ""中國思想史(一)"", ""中國思想史(二)"", ""文字學(一)"", ""文字學(二)"", ""聲韻學(一)"", ""聲韻學(二)"", ""詩選及習作(一)"", ""詩選及習作(二)"", ""詞選及習作(一)"", ""詞選及習作(二)"", ""曲選及習作"")"
文學院,外國語文學系學士班,,,1. 班排名前25% 。2. 模組二英文課成績85分以上；模組三英文課成績80分以上；沒有修課紀錄者應提供英語能力證明(如英檢測驗)。,1. 申請表(請至註冊組網頁「申請表單」處下載)，須明確標示申請輔系或雙主修，並留下聯絡電話及EMAIL。2. 正式成績單(須包含申請日之前各學期完整成績)，並註記英文課模組。3. 班排名證明文件。若有英檢或英文能力相關證明可檢附作為參考附件。,申請者應先修以下B2課程至少一門，且成績及格通過：「語言學概論」、「西洋文學概論」、「文學作品導讀」。,,,分機52205,"c(""須修畢必修 12 學分，選修至少 20 學分。"",  ""文學課程，任選三科，至少 9 學分，部分課程列於下表，為標記 * 者，依當學期課程安排而定。"", ""語言學及教學類課程，任選三科，至少 9 學分，部分課程列於下表，為標記 ** 者，依當學期課程安排而定。"", ""英語口語訓練、英文作文課程有擋修設定(同ㄧ學期不得同時修習課程名稱相同的科目)，上下學期不得任意換組"", ""第二外語為日、法、德、西、俄五選一"", ""輔系學生畢業前應達到外文系英文畢業門檻，並於預定畢業學期認證學分時一併 提出英檢相關證明文件，始符合本系輔系資格。"", ""若修習本系舊制課程，須經由本系認可確認課程及學分數始得計為輔系畢業學 分。""
 )","c(""西洋文學概論"", ""文學作品導讀"", ""語言學概論(一)"", ""語言學概論(二)"", ""英語口語訓練(一)"", ""英語口語訓練(二)"", ""英語口語訓練(三)"", ""英語口語訓練(四)"", ""英文作文(一)"", ""英文作文(二)"", ""英文作文(三)"", ""英文作文(四)"", ""第二外語【B2三年必修】(一)(二)(三)(四)(五)(六)"", ""英國文學（一）*"", ""英國文學（二）*"", ""英國文學（三）*"", ""英國文學（四）*"", ""美國文學（一）*"", ""美國文學（二）*"",  ""文學批評（一）*"", ""文學批評（二）*"", ""奴隸敘事*"", ""當代英美小說*"",  ""說故事與語言教學**"", ""語法學**"", ""社會語言學導讀：宏觀篇**"", ""語音學**"", ""心理語言學**"", ""兒童語言**"", ""構詞學**"")"
文學院,歷史學系學士班,,,,,,,,分機52340,"c(""須修畢必修 6 學分，選修至少 21 學分。"", ""選修：限修本系專業課程(學年課程必須上、下學期皆修)"")","c(""史學理論與方法(一)"", ""史學理論與方法(二)"")"
文學院,台灣文學系學士班,,,,申請者須提供成績單。,,,,06-2757575-52600,"c(""須修畢必修 23 或 24 學分"", ""台灣語言基礎及寫作：台語、客語、原住名語三選二"", ""標示 * 的課程三選一"", ""標示 ** 的課程：文學文本解讀、語言學概論（一）（二）二選一"")","c(""台灣語言基礎及寫作（台語）(一)"", ""台灣語言基礎及寫作（台語）(二)"",""台灣語言基礎及寫作（原住民語）(一)"", ""台灣語言基礎及寫作（原住民語）(二)"",""台灣語言基礎及寫作（客語）(一)"", ""台灣語言基礎及寫作（客語）(二)"", ""台灣文學史（一）"", ""台灣文學史（二）"", ""台灣文學史（三）"", ""文學理論與批評（一）"", ""文學理論與批評（二）"", ""台灣歷史與文化*"", ""文化與社會基本議題*"", ""文化研究*"", ""文學文本解讀**"", ""語言學概論（一）**"", ""語言學概論（二）**"")"
理學院,數學系學士班,,,前一學年學業總成績平均達75分以上。,,,,,分機65105,"c(""須修畢 必修 23 學分"", ""必修課程，若在主修學系修過者，須選讀以下科目補足規定學分：數學導論、微分方程、代數學(二)、統計學導論、數值分析導論、作業研究(一) 、複變數函數論、拓樸學、高等線性代數、幾何學導論、實變數函數論。"")","c(""線性代數(一)"", ""線性代數(二)"", ""高等微積分(一)"", ""高等微積分(二)"", ""代數學(一)"", ""微分方程導論"", ""機率導論"")"
理學院,物理學系學士班,,,,,,,,分機65257,"c(""須修畢必修 20 學分"", ""必修從以下課程中任選 20 學分"", ""課程若與學生原科系必修科目之教授內容相近，請準備該課程大綱，經物理系審查 同意後，可選修建議課程補足學分"")","c(""物理數學(一)"", ""物理數學(二)"", ""電磁學(一)"", ""電磁學(二)"", ""力學(一)"", ""力學(二)"", ""量子物理(一)"", ""量子物理(二)"", ""光學"", ""熱力學"", ""物理實驗(一)"", ""物理實驗(二)"", ""物理實驗(三)"", ""物理實驗(四)"")"
理學院,化學系學士班,,,,,,,,分機65307,"c(""須修畢 必修 26 學分"", ""若有必修課程在主修學系修過者，而未 達 40 學分者，須再選修本系開授課程補足校方規定學分"")","c(""有機化學(一)"", ""有機化學(二)"", ""物理化學(一)"", ""物理化學(二)"", ""分析化學(一)"", ""分析化學(二)"", ""無機化學(一)"", ""無機化學(二)"")"
理學院,地球科學系學士班,,,,,,,,分機65406,"c(""須修畢 必修 6 學分，選修 19 學分"", ""修習科目若有實習，亦必須選修相關實習課，方才認定修習該課程"", ""本系未開授之專業選修科目，事前經系主任核可，得於外系或外校選修相同科目"")","c(""地球科學概論(一)"", ""地球科學概論(二)"", ""地球科學概論實習(一)"", ""地球科學概論實習(二)"", ""水文地質學概論"", ""環境地質學"", ""海洋學"", ""天文學"", ""氣象學"",  ""板塊地質學"", ""地形學"", ""衛星遙測概論"")"
理學院,光電科學與工程學系學士班,,,前一學年學業成績平均達70分以上。,1. 歷年成績單。2. 學生證。,,,,分機63900,"c(""須修畢 必修 15 學分，選修 9 學分"", ""選修課須由系定專業選修四大領域中任選一領域內 3 門課共 9 學分"", ""系定專業選修四大領域課程請參閱光電系網站-課程資訊"", ""所列課程若與原系課程重複者則另選修其他課程"")","c(""電磁學(一)"", ""電磁學(二)"", ""光學(一)"", ""光學(二)"", ""光電子學導論(一)"")"
工學院,機械工程學系學士班,,,,,,,,分機62159~65,"c(""須修畢 必修 21 學分"", ""專業必修科目學分不足21學分時，得選修其他專業必修科目(詳見機械工程學系課程表)補足"")","c(""應用力學(一)"", ""應用力學(二)"", ""熱力學(一)"", ""熱力學(二)"", ""機動學(一)"", ""機動學(二)"", ""材料力學(一)"", ""機械材料"", ""機械製造"", ""流體力學"", ""機械設計"", ""自動控制"")"
