學院,科系,招生,年級限制,成績要求,繳交資料,先修課程,測驗,面試,備註,一般生可轉入名額,橋生可轉入名額,心得
,全校不分系學士學位學程,,,,須提供自傳、轉系動機、讀書計畫、成績單、5分鐘自我介紹(請將檔案上傳至雲端並提供QRcode於申請資料中以供檢視)及其他有利審查之資料。,,,若有需要進行面試將於書審後逕行通知。,,10,0,比起成績更看重你轉系的「動機」，在備審資料中建議要放：你為了轉系做了哪些努力（個人經歷）以及你未來在不分系想做些什麼（未來專題）。轉系資料：歷年成績單、自傳、轉系動機、讀書計畫、其他資料，還有今年新增的「五分鐘自我介紹的影片」
文學院,中國文學系學士班,,,,須提供有利審查之資料。,,,,,11,1,
文學院,外國語文學系學士班,,,1. 班排名前50%。2. 模組二英文成績90分以上；模組三英文成績85分以上；或通 過GEPT全民英檢中高級複試(或其他相同等級)以上之英語能力測驗者。,登記參加轉系資格測驗時需繳交成績單等相關申請文件。,應先修以下B2外文系課程至少一門，且成績及格通過：「語言學概論」、「西洋文學概論」、「文學作品導讀」。,參加並通過外文系轉系1.測驗內容：「英文」(閱讀及作文)佔50%，「英文會話」50%。2.預定測驗公告：每年四月下旬。3.預定測驗報名日期：每年五月上旬。4.預定測驗日期：每年五月下旬。5.所有有意申請轉入本系學生(含僑生及國際生)皆應登記參加轉系資格測驗。,,,11,1,不特別看重在校成績，轉系考考好即可，一共有考（聽、說、讀、寫）
文學院,歷史學系學士班,,,,須提供自傳、轉系動機、讀書計畫、成績單及歷史課程相關報告等有利審查之資料。,,,,,11,2,
文學院,台灣文學系學士班,,,,審查資料含成績單、轉系動機說明（至少500字）及其他有利審查資料。,,,,,11,1,
理學院,數學系學士班,,,,須提供有利審查之資料(含轉系動機說明、自傳、讀書計畫、在校成績等)。,,,,,11,1,
理學院,物理學系學士班,,,,,須修畢普通物理（一）（二）、微積分（一）（二）。,,,,9,1,大一普物（上、下顧好），建議先選修物理數學（ㄧ），因為大二上會有物理數學（二）之課程
理學院,化學系學士班,,,,,須修畢普通化學、普通物理及微積分三科中至少二科成績及格。,,,,11,1,只要大一普物普化修好，基本上蠻容易過的，建議先選化學數學課程以跟上進度。
理學院,地球科學系學士班,,,,,須修畢普通化學、普通物理及微積分三科中至少二科成績及格。,,,,11,1,
理學院,光電科學與工程學系 學士班,,,,須經本系書面資料審查（含自傳、讀書計畫、在校成績及其他有利審查之資料）通過。若有需要進行面試將逕行通知。,,,,,10,1,
工學院,機械工程學系學士班,,,本地生：前一學年或累計總平均75分(含)以上，普通物理上下學期及微積分上下學期成績均達75(含)以上。僑生：前一學年或累計總平均70分(含)以上，普通物理上下學期及微積分上下學期成績均達70分(含)以上。,審查以書面為原則，若有需要時會另外通知面試。,,,,,33,3,
